Беньямин		экран, поднимающий отраженный свет от юд Зеир-Анпина.
Никвэй эйнаим	зрачки глаз	бхина алеф головы. Хохма называется "глаза", и благодаря подъему малхут в глаза-эйнаим, появилась хохма также и в нукве.
Никуд отиет		указывает на источник каждой частной сфиры: возникла ли она включением в высший или нижний, или сама по себе. Наполнение имени (милуй, гематрия) указывает на высоту ступени.
Некуда	точка	малхут, на которую нет зивуга, а потом не поднимающая отраженный свет, черная, без света, вследствие Ц"А, произошедшего в Центральной точке.
Некуда эмцаит	Центральная точка	бхина далет мира Бесконечности, находящаяся в соединении со светом мира Бесконечности.
Некудот	точки	четыре уровня, выходящие во время зивуга экрана с высшим светом при ослаблении экрана. Света табура - точки над буквами - холам. Света сфиры есод - точки внутри букв - мелафон. Свет окончания ног - точки под буквами.
НаРаНХа"Й		келим 10 сфирот, называемые КаХа"Б ЗО"Н. Света 10 сфирот называются: нефеш, руах, нешама, хая, ехида. Келим называются сверху-вниз, а света снизу-верх, в соответствии с порядком их роста.
Нешикин	поцелуй	зивуг двух внутренних парцуфов - З"А и нуква. Так же называется "звук и речь".
Нешират эйварим		падение душ в нечистые силы. У келим падение в нечистые силы называется "разбиение".
Нешират эйварим Адам аРишон	опадание органов Первого Человека	до грехопадения у Адам аРишон были света НаРа"Н Ацилут, а после грехопадения упали все части его души, остался только свет нефеш в келим 100 ктарим.
Нешама		свет, облачающийся в кли бина. Называется "дыхание", от слова "линшом", дышать, потому что З"А получает свет "дух жизни" от бины подъемом и спуском, как при дыхании.
Нешамот хадашот	новые души	1) действительно новые души - свет хохма прямого света. Эти души не приходят в мир Исправления. 2) Обновленные души, пришедшие от хохма 32-х путей, от бина, включенной в хохма. Но относительно ЗО"Н они - новые, потому что приходят из парцуфа М"А-хадаш (только души БО"Н старые). В них тоже есть два различия: а) Новые души, относящиеся к состоянию "лицом к лицу", которое было во время Храма, когда З"А находился постоянно на уровне А"Б, Брия, определяющая свойства душ, находилась в Ацилут, поэтому и души находились в Ацилут и считались находящимися в состоянии "лицом к лицу". б) После разрушения Храма Брия опустилась под парса, и не стало в ней света Ацилут, и находится в состоянии "спиной к спине", поэтому души считаются находящимися в состоянии "спиной к спине".
Нетинат орот	передача света	передача света от сфиры к сфире по мере ослабления экрана. Все света исходящие из парцуфа, приходят в кетер: когда экран поднялся от табур в пэ, постепенно все света поднимаются в кетер.
Ор	свет	Все, что получают в мирах «еш ми еш». Все принятое в бхина далет, включающее в себя абсолютно все, кроме желания получать наслаждение.
Ор Ацилут		свет хохма-мудрости.
Ор Брия		свет хасадим, милосердия без света хохма.
Ор хадаш	новый свет	любой свет, исходящий в результате исправления келим в мире Ацилут (свет в мире Ацилут, ощущаемый в исправленных келим).
Ор яшан	старый свет	свет, который остался в мире Некудим после разбиения келим.
Ор паним	свет лица	свет хохма.
Ор хохма	свет хохма, свет мудрости	свет, исходящий из Творца к творению, суть и жизнь всего сотворенного.
Олам аБа	будущий мир	света твуны, постоянно распространяющиеся в ЗО"Н. "Ле атид лаво", в будущем - это света высшей бины, потому что должны войти в З"А в будущем.
Олам	мир	имя "мир" начинается с парцуфа БО"Н мира Адам Кадмон, потому что исчезли З"А и малхут внутренних келим бхины далет, превратившись в келим для окружающего света, называемые в таком случае "эйхаль" (чертоги). Олам означает скрытый, от слова "алама" - скрытие.
Оламот и нешамот	миры и души	АВ"И совершают два зивуга: 1) "спиной к спине" ради оживления миров светом хасадим, 2) "лицом к лицу" для рождения душ. От первого, внешнего зивуга происходит "одежда", а от второго, внутреннего, распространяется свет хохма, рождаются души. Поэтому есть три парцуфа: внешнийи средний от первого зивуга, и внутренний от второго зивуга.
Ор яшар	прямой свет	свет, исходящий из Мира Бесконечности к духовным объектам, мирам и парцуфим, не ощущаемый келим дэ игулим (круглые келим, не имеющие антиэгоистического экрана), а ощущаемый только келим дэ ёшер (келим с экраном, исправленные желания) в соответствии с их желанием (исправленным). Ор яшар, прямой свет - свет, получаемый более грубым кли от более светлого, такое распространение света называется "сверху вниз".
Ор хозер	отраженный свет	свет, поднимающийся от более грубого к более светлому, такое распространение света называется "снизу вверх". Отраженный свет, ор хозэр - свет, не принимаемый бхиной далет и отталкиваемый посредством экрана.
Ор митъагель	округляющийся свет	прямой свет нисходит в кли в точной зависимости от желания кли, в соответствии с бхиной далет, что похоже на падение тяжелого предмета прямо на землю. В келим, не имеющих авиют, т.е. сильного желания, свет округляется, т.к. нет у них сил притяжения света.
Ор макиф	окружающий свет	любой свет, отталкиваемый экраном, в связи со слабостью экрана, в связи с невозможностью получения в соф парцуфа. О"М находится вокруг парцуфа и давит на экран с целью получения его в будущем (с намерением облачиться в него в будущем).
Ор эйнаим	свет глаз	свет, возникающий при взаимодействии прямого света с экраном, стоящим в никвей эйнаим, Н"Э (авиют алеф). Ор эйнаим свет глаз - распространение света из Мира Бесконечности к экрану. Свет, исходящий из Мира Бесконечности - это всегда свет хохма или ор эйнаим.
Ор пними	внутренний свет	свет, облаченный в кли.
Ор решимо	свет воспоминания	это то, что остается в кли после исхода света.
Ор нефеш	свет нефеш	свет, получаемый парцуфом от высшей, ближайшей к нему ступени, а не из Мира Бесконечности. Называется также "ор некева" или "ор малхут".
Ор некева		см. свет нефеш.
Ор малхут		см. свет нефеш.
Ор мугбаль бе кли	свет, ограниченный сосудом	когда свет зависит от величины авиют кли и может распространится там только в соответствии с величиной авиют кли.
Орэх	длина	расстояние между двумя противоположными концами ступени, от самого светлого (высшего) свойства до самого грубого (нижнего) свойства.
Отиет	буквы	келим (сосуды).
Озен	ухо	уровень бины десяти сфирот головы.
Пэй		семнадцатая буква ивритского алфавита, числовое значение 80.
Пэа	малхут	потому что она последняя из сфирот.
Паним бэ паним	лицом к лицу	когда нуква получает высший свет от лица захара в свое лицо.
Пэ	рот	малхут головы.
Пануй	свободный	место, готовое для получения исправления.
Паним	лицо	место в кли, предназначенное для получения или отдачи.
Пними	внутренний	парцуфим зарождения, вскармливания, взросления, облачаются друг в друга таким образом, что больший из них - он более внутренний.
Пнимиют		авиют экрана, потому что это место распространения света.
Пнэй захар	лицо мужчины	распространение, отдача света хохма.
Пнэй некева	женское лицо	келим, предназначенные для получения света хохма.
Паним лемала	лицом кверху	при осветлении экрана, т.к. направлены к меньшей авиют.
Паним лемата	лицом книзу	когда свет распространяется в зависимости от авиют.
Псолет	отходы	то, что остается после проверки.
Парса	граница	перегородка, разделяющая парцуф на получающие и отдающие келим.
Перуд		две ступени, не имеющие ни одного общего свойства.
Парцуф		10 сфирот одна ниже другой, возникшие благодаря подъему малхут к Творцу.
Пашут	просто	нет различия ступеней и сторон.
Пэтах	отверстие	распространение света в тело, которое открывает доступ свету.
Птихат эйнаим	открытие глаз	свет глаз, свет хохма.
Рэйш		двадцатая буква ивритского алфавита, числовое значение 200.
Рия	зрение	распространение света от Мира Бесконечности к экрану. Свет, приходящий от Мира Бесконечности, это всегда свет хохма, или свет глаз, или зрение, или свет хохма головы.
Рош	голова	часть в творении, более всех схожая с корнем. Так же называются и 10 сфирот высшего света, распространяющегося к экрану малхут, чтобы поднять отраженный свет. Называются так, потому что предшествуют экрану и отраженному свету. Так же называются 10 сфирот прямого света, облаченного в 10 сфирот отраженного света.
Решит	вначале	хохма Зеир Анпина.
Рахав	широкий	распространение света хасадим.
Радл"а		10 сфирот головы парцуфа Атик, называются "непостигаемая голова", потому что используют малхут Ц"А.
Рош шуалим	"голова лисицы"	голова нижней ступени. Одновременно является "хвостом льва" - окончанием высшей ступени.
Руах	дух	свет хасадим. Свет, облачающийся в кли З"А, потому что его природа - это подъем в бина, получение от нее свет и спуск, чтобы передать этот свет в малхут.
Руханиют	духовное	абстрагированное от всех материальных понятий, т.е. от понятий время, место, воображение, движение.
Рахок	далеко	максимальное изменение свойств. Маленькое свечение света хохма. Близко - означает большое свечение света хохма.
Рахель		нуква Зеир Анпина, расположенная от его хазэ и вниз.
Рибуй ор	много света	большое количество решимот, которые не обновились при зивуге, поэтому требуют исправления и поднимают МА"Н в новый зивуг.
Рибуа	квадрат	зивугим, производимые малхут во время ее подъема от бхины далет к бхине гимел, от бхины гимел к бхине бэт и т.д., пока не поднимается в пэ. Название также происходит по имени четырех видов ослабления экрана.
Реах	запах	свет в З"А головы, называемом "хотэм", нос.
Ракия	свод	есод Зеир Анпина, т.к. это его окончание, верхние воды, и начало нуквы, нижние воды.
Решимо	воспоминание	то, что свет оставляет после своего исчезновения, что является корнем рождения из него нового парцуфа.
Самех		пятнадцатая буква ивритского алфавита, числовое значение 60.
Сигим		малхут, смешавшаяся с семью малахим, ставшая причиной разбиения мира Некудим.
Сеголь	фиолетовый	намек на то, что есть три точки ХаБа"Д, где хохма и бина находятся в состоянии "лицом к лицу".
Совев		причина, приводящая к зивугу.
Совель	страдает	там, где кли способно получить свет, но не получает по своему свободному выбору.
Соф, или сиюм	окончание	отказ бхины далет получить свет. Бхина далет называется "окончание", потому что заканчивает получение света, этим заканчивая ступень.
Сиюм Цимцум Алеф	Окончание Первого Сокращения	находится над точкой Этого мира.
Сиюм шель Цимцум Бет	Окончание Второго Сокращения	это парса, под миром Ацилут.
Сиюм келим шель паним	окончание келим "лица"	уровень хазэ.
Сиюм раглей Ацилут	конец "ног" мира Ацилут	бина дэ гуфа парцуфа некудит СА"Г (середина сфиры тифэрэт в его теле).
Сиюм раглей Адам Кадмон	конец "ног" мира Адам Кадмон	точка Этого мира, там, где находится окончания кав (линии) высшего света, там, где находится Центральная точка всех миров.
Сандалфон		малхут света парцуфа Има, облаченная в малхут мира Брия.
Салик берута		зивуг на экран с авиютом шореш.
Самух	рядом	близость свойств с ближним.
Сеарот	волосы	свет, который мозг не может вынести по причине недостатка исправления, отсутствия экрана. Поэтому они выходят наружу за Гальгальта. Называются также "излишки мозга" (мотрэй моха).
Сфира		10 сфирот прямого света, облачающихся в 10 сфирот отраженного света, рожденных одним зивугом, называются "одна сфира", по имени высшей сфиры, несмотря на то что включает 10 сфирот в высоту и в толщину.
Сказал миру: "Довольно, более не распространяйся"		Малхут, ограничивающая распространение света в хазэ мира Ецира, делает там эту границу.
Тав		двадцать вторая буква ивритского алфавита, числовое значение 400.
Тхум шабат		окончание, граница, установленная силой малхут на распространение высшего света до хазэ мира Ецира.
Тфилин	Цицит	это волосы З"А, светящие в голове нуквы и создающие на ее лбу (мэцах) свойство "тфилин".
Тоу		парцуф Атик, непостигаемый низшими. Боу - парцуф Арих Анпин (А"А), где есть проявление постижения.
Тосефет шабат		нисхождение высшего света, вследствие чего происходит подъем миров в пятом часу 6-го дня (Эрэв Шабат, Вечер Субботы).
Тора		свет З"А.
Тхият метим	возрождение мертвых	возврат из БЕ"А в мир Ацилут, т.к. выход вниз из мира Ацилут называется "смерть".
Тахлит кулам	цель всего	бхина далет, потому что наиболее грубая, называемая "соф" (конец), потому что все мадрегот (ступени, миры и пр.) созданы только ради ее исправления и наполнения.
Тнуа	движение	любое обновление духовной формы, т.е. свойств, относительно предыдущей формы, свойств.
Тардема	дремота	состояние З"А в процессе подъема МА"Н. Называется также "дормита".
Тхелет	голубой	малхут света парцуфа Има, облаченная в малхут мира Брия.
Тэт		девятая буква ивритского алфавита, числовое значение 9.
Терем вэ ахар ках		когда говорят об отношении причины и следствия, причину называют "терем", а следствие - "ахар ках".
Табур	пуп	малхут тела, от которой начинается ограничение и отталкивание света в действии.
Табур лев		место хазэ.
Таамим	вкусы	распространение света сверху вниз, от пэ до табур.
Типа	капля	попеременное получение света, с промежутками.
Типат олада		свет хесед парцуфа Аба, опускающий экран с глаз.
Тоу		Атик, который не постигаем.
Хей		пятая буква ивритского алфавита, числовое значение 5.
Хэт		восьмая буква ивритского алфавита, цифровое значение 8.
Хуц ла Арец	заграница	Асия Этого мира. Брия – место Храма. Ецира – земля Израиля.
Хотэм	нос	сфира З"А головы.
Холам		свет над буквами.
Хомер	материал	толщина парцуфа в бхине далет – желании получить. Есть в нем длина, ширина, глубина и шесть концов: верх, низ, восток, запад, север и юг.
Хурва	развалины, пустыня	место клипот Этого мира, безжизненное место.
Хошех	темнота	бхина далет (желания получить), не имеющая свет вследствие запрета Ц"А.
Хотэм	печать	отраженный свет, поднимающийся от экрана вверх и одевающий 10 сфирот головы парцуфа. Нихтам (отпечаток) – те же 10 сфирот проходящие из головы в тело парцуфа.
Хазэ	грудь	окончание Ц"Б. Поэтому сверху над хазэ есть келим дэ паним, Г"Э, лицо, Ц"Б не властвует над ними их.
Хазара ле Маациль	обратно к Создателю	распространение света при ослаблении экрана.
Хибук смоль	объятие слева	распространение света от З"А к малхут, чтобы смогла поднять АХА"П.
Хая		свет хохма.
Хай	жизнь, числовое значение 18	есод, потому что поднимает 9 сфирот отраженного света и получает в них 9 сфирот прямого света.
Хэйлот амалхут	так же цваот амалхут	парцуфим, исходящие из малхут миров БЕ"А.
Хицониют малхут	внешняя часть малхут	самая светлая часть кли, являющаяся сосудом для окружающего света (О"М).
Хохма	мудрость	свет сущности творения.
Хохма	мудрость	знание конечного результата любого явления, существующего в действительности.
Хохма шель ламед-бет нетивот	мудрость 32 путей	свет хохма, получаемый биной для ЗО"Н, являющийся 22 буквами бины + 10 сфирот ЗО"Н в бине.
Хохма Илаа	Высшая мудрость	свет хохма в З"А.
Хохма кдума	предшествующая мудрость	свет хохма в парцуфе Арих Анпин, который не светит в мире Ацилут, а светит там только свет хохма дэ ламед‑бет нетивот.
Хохма татаа	нижняя мудрость	свет хохма в нукве.
Халав	молоко	света хасадим, которые бина дает З"А после его рождения (зман аеника, двухлетний период вскармливания). В З"А света хасадим опять превращаются в хохма, это называется «халав обращается в дам», молоко превращается в кровь.
Халон	окно	сила отраженного света, открывающая возможность получения света в кли.
Халаль	пространство, пустота	бхина далет, опустошенная от света. По причине Ц"А она не отторгнута Создателем, но находится в нем в виде пустого пространства без света.
Халаль пануй	пустое пространство	силой Ц"А малхут ограничивает получение Высшего света. Эта граница находится выше точки Этого мира. Благодаря Ц"Б граница распространения света поднимается от окончания парцуфа Гальгальта до хазэ парцуфа Некудим. С этой новой границы и ниже возникло пустое пространство, местодля появления в будущем нечистых сил. Но благодаря падению отдающих келим (Г"Э) под хазэ, в месте миров БЕ"А остались только 14 сфирот под расположение нечистых сил. После грехопадения Первого Человека опустилась точка границы святости в бину дэ малхут мира Асия, называемую «Земля нижнего Райского Сада», и там возникломесто пустого пространства. Получается, что посредством разбиения келим и грехопадения Первого Человека, уменьшилось пустое пространство, т.к. опустилось от места парсы до бины малхут мира Асия, но затем клипот нашли силы построить четыре мира до ЗО"Н мира Ацилут.
Хама бэ нартика		сфирот НеХ"И Зеир‑Анпина, облаченные в тох нуквы.
Цади		восемнадцатая буква ивритского алфавита, числовое значение 90.
Цваот малхут		парцуфим, выходящие из малхут в миры БЕ"А.
Цейрэ		обозначение хохма и бина, когда бина есть обратная сторона хохмы и нет у нее точки даат, приводящей к зивугу с хохмой. Бина также называется «цейрэ», т.к. все части З"А принимают свою форму благодаря экрану с ее авиют.
Цура	форма	четыре ступени авиют экрана малхут, называемых "хохма, «бина», "З"А", «малхут» называются «четыре формы».
Цион		внутренний есод нуквы. От слова «еция» – выход.
Цицит		волосы З"А, светящие в голове нуквы, создающие на ее лбу свойство «тфилин».
Цар	узкий	уменьшение света хасадим.
Целем		облачение света мохин Зеир‑Анпина.
Целем		отраженный свет, поднимающийся благодаря включению МА"Н нижнего в экран и авиют высшего и облачающего 10 сфирот прямого света. Этот отраженный свет относится к высшему, но поскольку высший совершает зивуг ради нижнего, на его авиют, поэтому этот отраженный свет спускается со светом, относящимся к нижнему.Но для того чтобы получить его, нижний должен последовательно уменьшить свет на три ступени, называемых «М‑Ц‑Л», или, если читать снизу‑вверх, со стороны низшего: «Це‑Ле‑М».
Цела		има нуквы, когда она прилеплена в состоянии «спиной к спине» с обратной стороны хазэ З"А, «поскольку прилеплена к его телу, то оба используют один кетер».
Цимцум	сокращение	преобладание над своим желанием. Не позволяет себе получение, несмотря на страстное желание получить.
Цимцум Алеф	сокращение на малхут	сокращение на бхина далет, поэтому линия Мира Бесконечности заканчивается на малхут НеХ"И.
Цимцум Бэт	сокращение НеХ"И мира Адам Кадмон	сокращение бхины бэт, поэтому линия Мира Бесконечности заканчивается на бина НеХ"И мира Адам Кадмон, откуда и начинается место миров БЕ"А. Второе Сокращение – это объединение свойства милосердия – бина, со свойством суда – малхут.
Цинор	труба	келим прямого света, потому что ограничивают свет в своих пределах.
Ципорнэй раглаим	ногти ног	окончание любого парцуфа.
Цар	узкий	сокращение света хасадим. Рахав, широкий – распространение света хасадим. Сокращение света хохма называется «короткий». Распространение света хохма называется «длинный».
Шин		двадцать первая буква ивритского алфавита, числовое значение 300.
Швира	разбиение	падение келим в нечистые силы. Падение душ в нечистые силы называется «опадание органов» (нэшират эйварим).
Шаар	ворота	зивуг для поддержания жизни миров.
Швиль	путь	есод парцуфа Аба, потому что он узкий и длинный.
Швира	разбиение	исчезновение границы в экране.
Швират кли	разбиение кли	когда кли не может получить свет.
Шадаим	груди	сосцы, в которых находится свет хасадим, а сейчас светит и свет хохма, называются «груди».
Шореш	корень	все свойства кетер, 10 сфирот головы.
Шина	сон	когда парцуф поднимается с МА"Н, считается, что на своем постоянном месте он находится в состоянии сна, т.е. вместо исчезнувшего света хохма, в нем остается только небольшое, оживляющее свечение.
Шана	(6000 лет)	Мир Асия называется «2000 лет тоу», т.к. тоу – это клипот, и весь мир Асия находится в клипот. Мир Ецира – это «2000 лет Тора», т.к. Ецира – это свойство З"А, т.е. письменная Тора. Мир Брия – это «2000 лет прихода Машиаха», Брия имеет свойство бины (Има), от которой исходит все избавление,которая называется «Леа, мать Машиаха бен Давида».
Шем	имя	формула, выясняющая, как свет, обозначенный этим именем (формулой), приходит к раскрытию именно на этой ступени, потому что на каждой ступени выясняется свой путь (свое имя) постижения света.
Шмия	слух	свет в сфире бина дэ рош (в голове парцуфа).
Эдэн Элион		есод мира Брия.
Эдэн тахтон		есод мира Асия.
Эхад	Один	Высший свет, исходящий из сущности Творца, он единый и простой, подобно самой Сущности, и каков он в Бесконечности, такой же он даже в мире Асия, без изменения или добавления свойств
Элион	высший	более важный.
Эц		есод З"А, средняя линия, место зивуга.
Эвель		отраженный свет, поднимающийся вверх от экрана.
Эвдель	различие	действие экрана, разграничивающие парцуф, чтобы не произошло присасывание неисправленных желаний к свету.
Эц адаат тов вэ ра	древо познания добра и зла	от хазэ и вниз З"А. Там есть свечение света хохма, поэтому там есть присасывание клипот, называемых «зло».
Эц хаим	древо жизни	место от хазэ и вверх, где находится скрытый свет хасадим – свет обратной стороны бины, там нет присасывания клипот.
Эц даат	древо знания	место от хазэ и вниз, называемое «Асия». Самое главное – это есод, т.е. средняя линия, называемая «древо».
Эт рацон	время желания	во время зивуга в большом состоянии, когда благодаря свету А"Б‑СА"Г исчезают «волосы» и светит свет хохма.
Эйн	нет	сокрытие света хохма. Наличие света хохма называется «еш» – «есть».
Элохим ахерим	«другие боги»	присасывание клипот к обратной стороне нуквы, потому что нет у нее совершенства в работе по отделению, проверке и исправлению до Окончательного Исправления (гмар тикун).
Эмцаи		средство, соединяющее два отдаленных друг от друга конца, свойства.
Эйварим	органы	сфирот гуф парцуфа, части тела парцуфа.
Эрец Элиона	Высшая Земля	бина.
Эрец Тахтона	Нижняя Земля	малхут.
Эрец Эдом		когда малхут включается в бину, бина называется «Эрец Эдом».
Эрец Исраэль		Ецира Этого мира.
Эт		малхут называется «эт», потому что включает все буквы от алеф до тав.
Ярхэй ибур	месяцы зарождения, или месяцы беременности	время и место – это обновление формы, свойств. Парцуф совершенствуется посредством большого количества зивугим и светов в процессе 7, 9 или 12 месяцев беременности, в соответствии с количеством светов, необходимых для полного заполнения парцуфа.
Ямей кедем	прежние дни	сфирот парцуфа Атик, потому что в них малхут Ц"А скрыта от всех других парцуфим Ацилут.
Яаков		ВА"К Зеир Анпина, или внешний парцуф.
Яшар	прямо	спускание высшего света в келим в точном соответствии с желанием кли, в соответствии с бхиной далет, похоже на падение тяжелого предмета прямо на землю. В келим, не имеющих авиют, т.е. желания, свет округляется, т.к. нет в них силы притяжения.
Ор аголь	Круглый свет 	Это свет, который не имеет ступеней.
Ор пашут	Простой свет 	Это свет, который содержит в себе кли таким образом, что свет и кли неразличимы.
Авир рэйкани	Пустой воздух	Это свет хасадим прежде, чем он облачил свет хохма.
Двекут	Слияние	Это совпадение свойств, которое сближает духовные объекты и сливает их друг с другом.
Зах	Светлый, чистый, тонкий 	1-я стадия, что в желании получать, определяется как более светлая (зах) относительно 3 последующих стадий.
Время		Это определенная сумма этапов, исходящих один из другого и являющихся причиной один другого в порядке причина – следствие, как, например, дни, месяцы и годы.
Хошех	тьма, темнота	4-я стадия, что в желании, которая не получает внутрь высший свет по причине сокращения, определяется как корень понятия темнота.
Халаль	пространство, пустота	4-я стадия, что в желании, которая опустела от света, определяется как темнота относительно света. А относительно кли она определяется как пространство, т.к. 4-я стадия сама по себе не исчезла из творения по причине сокращения, а находится в нем в состоянии пустого пространства без света (халаль рейкани).
Ехуд, ихуд	Единство, объединение	Два различных объекта, уравнявшие свои свойства друг с другом, находятся в единстве.
Правое и левое		Нижняя ступень поднимается иногда на уровень, равный более высшей ступени, когда высшая нуждается в ней, чтобы дополнить себя, и тогда нижняя ступень называется левая, а верхняя – правая.
Йоцер	создает	Слово «создает» указывает на воздействие света на миры, которое включает всю их реальность, кроме материи килим
Вверх		Уравнивание свойств низшего с высшим – это его подъем «вверх».
Мата		Меньше по высоте, чем другой, называется ниже него.
Сверху – вниз		То есть от 1-й стадии до 4-й стадии: т.к. 4-я стадия, которая осталась без света, считается ниже всех ступеней, и чем желание получать слабее, тем эта ступень считается выше, и так – до 1-й стадии, которая считается выше всех.
Мемале	наполняет	Нет там никакой потребности и не представляется возможным добавить что-либо к совершенству.
Мала - Мата	выше, ниже	Более важный считается «выше», а более худший считается «ниже».
Касается		Если изменение свойств ступени от ее корня не настолько различимо, чтобы отделить ее от корня, называется, что она «касается» корня.
Пашут	простой	Нет в нем отличия ступеней и сторон.
Перуд	отделение	Две ступени, у которых нет совпадения свойств ни в чем, называются совершенно отделенными одна от другой.
Каров	близкий, ближний	Тот, чьи желания более близки и подобны желаниям товарища, считается наиболее близким ему.
Тох	внутрь	Получение внутрь означает, что свет измерен и ограничен посредством кли. А получение «вовне себя» означает, что не делает никаких ограничений, границ на свет, который получает.
Тнуа	движение	Каждое обновление свойств называется движением в духовном, т.к. отделяется от предыдущего образа, свойства и получает свое собственное имя. Подобно части, отделенной от материального объекта, которая сдвигается и отходит от прежнего места.
Ор макиф	Окружающий свет	Это свет, предназначенный для облачения в ступень, который пока задерживается из-за какой-то границы в ней. В этом имени есть два смысла: 1. Это свечение издалека. 2. Это свечение гарантированное, которому в конце концов предстоит облачиться там, т.к. окружающий свет «окружает» ее вокруг и не оставляет ей никакого места «спастись» от него, пока она не будет пригодна получить его полностью.
Разум		Рассмотрение путей причины и следствия для выяснения всех результатов, которые рождаются и получаются от чего-либо
Длина		Расстояние между двумя концами ступени, т.е. между самой тонкой частью и частью самой грубой
Граница		Экран каждой ступени отмеряет и устанавливает «границу» этой ступени, на уровне отраженного света, который поднимает экран (см. выше, п.2), согласно величине его авиют. Экран бхины гимэл ограничивает уровень ступени от постижения света кэтэр. А экран, соответствующий бхине бэт, ограничивает также и от света хохма и т.д.
Материальное		Все, что представляется и ощущается в пяти органах чувств, или занимает место и время
При прохождении		Света, исходящие из Бесконечности к нижним сфирот, проходят обязательно через высшие сфирот. И поскольку духовное не исчезает с одного места при прохождении на другое, а остается и существует и в первом месте и во втором, то мы поэтому различаем в каждой сфире два вида светов: света ее собственные и света, которые остались в ней «при переходе».
Утоньшение		очищение авиют в стадии далет. Поскольку уровень отраженного света, который экран поднимает и облачает на прямой свет, зависит от меры величины авиют в стадии далет, что означает величину стремления, что в ней. Поэтому после того как ступень наполнилась своим светом, притянутым ею, преодолевает отраженный свет и очищает экран от некоторого количества меры его стремления. И это называется, что она очистилась от авиют, которая была в ней
Связывание		Облачение 10 сфирот дэ-рош ступени в 10 сфирот отраженного света, поднимающихся от малхут снизу вверх, называется связыванием. Потому что здесь света предшествуют келим, и авиют не поднимается с этим отраженным светом выше своего места, т.е. из малхут, даже нанемного. И потому эти 10 сфирот отраженного света не считаются законченными келим, пригодными для облачения в них сущности – ацмут. И потому это облачение называется только связыванием – иткашрут, т.е. прямой свет связывается и находится в парцуфе посредством этих 10 сфирот отраженного света, несмотря на то что не облачается в них реально. Облачение прямого света в келим происходит только в отраженном свете, распространяющемся вниз от экрана, и авиют малхут дэ-рош может распространиться и спуститься и облачить 10 сфирот прямого света, приходящие в него.
Ерида	спуск	Увеличение авиюта означает спуск, т.е. спускается со своей ступени. А издахехут, утоньшение (уменьшение авиюта) означает алию, подъем, т.к. поднимается подобием свойств к Бесконечности. И это закон, что каждый более зах, тонкий, он более высший, а каждый более ав, грубый, он более низший.
Леат леат		Притягивание света в порядке ступеней, в порядке «причина и следствие», называется постепенно, медленно.
Воды света		Свет, который спускается со своей ступени
Масах	экран	«Сила сокращения» пробуждается в творении относительно высшего света, чтобы прервать путь его спуска в стадию далет, т.е. в момент, когда он достигает и касается стадии далет, сразу пробуждается эта сила, ударяет и отталкивает его обратно. 
Отмена		Когда два духовных объекта полностью равны по свойствам, безо всяких отличий, они возвращаются полностью в одно, и маленький «отменяется» в большом.
Нимшах	притянуть	Ерида, спуск света в силу авиюта, что означает: в силу стремления, которое имеется в творении, называется , притянул или амшаха, притягивание.
Рахок		Отличие свойств в очень большой мере.
Органы		Это келим сфирот дэ-гуф, т.е. те, что проявились от экрана, стоящего в пэ дэ-рош, и ниже.
Боху		это название Арих Анпина, и это имя, относящееся к той же системе соотношений, что и «тоху», который является выражением для Атик и означает отрицание постижения. А «боху» – означает раскрытие постижения и выражение существования, бытия, что являет собой аббревиатура «бо» – в нем, «ху» – Он.
Эйхаль		Та сфира малхут, которая отделилась от внутренних келим и стала кли для окружающего света, называется домом или дворцом
Речь		Малхут рош называется пэ, и 10 сфирот, которые проходят через нее, от нее и вниз, посредством свечения экрана
Узкая дорога		Ограниченная, неполная отдача – определяется, что даваема она «узким путем».
Эвель	пар	Отраженный свет называется «пар».
Выходящий эвель	выходящий пар	Это отраженный свет, спускающийся от экрана и вниз.
Истаклут	всматривание	Распространение света Бесконечности для зивуга дэ-акаа с экраном в кли малхут, чтобы поднять отраженный свет, называется  всматривание. Так как свет, распространяющийся из Эйн Соф, определяется всегда как свет хохма, а она (хохма) называется «светом эйнаим» (досл. свет глаз), или «рия» (зрение), или «...» (всматривание).
Итноценцут	свечение	Свечение отраженного света всегда называется «свечение», или нецуцим (досл. искры).
Маленький ницуц 		Часть, меньшая чем свет малхут, т.е. чем отраженный свет, который остается в ней со стороны ее реальности, называется « маленький ницуц», а в светах это называется «решимо» – память о состоянии.
Точка		Малхут и экран в ней, в момент, когда нет в ней зивуга и она не поднимает отраженного света, называются точкой, по подобию черной точки, в которой нет никакой белизны, и, таким образом, нет в ней никакого света, вследствие сокращения, действующего на нее. Кроме того, называется точкой по имени сокращения, которое произошло в центральной точке.
Прежде и потом		Когда говорят об отношениях причина – следствие в творениях
